"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"DST","Bills ",2900,"Buf@NYJ 08:25PM ET",6.625,"Buf"
"DST","Vikings ",2800,"Min@Oak 04:05PM ET",7.625,"Min"
"DST","Ravens ",2800,"Jax@Bal 01:00PM ET",5.500,"Bal"
"TE","Owen Daniels",2800,"KC@Den 04:25PM ET",8.388,"Den"
"TE","Crockett Gillmore",2800,"Jax@Bal 01:00PM ET",10.367,"Bal"
"TE","Austin Seferian-Jenkins",2800,"Dal@TB 01:00PM ET",17.950,"TB"
"DST","Eagles ",2700,"Mia@Phi 01:00PM ET",10.500,"Phi"
"TE","Jordan Cameron",2700,"Mia@Phi 01:00PM ET",6.538,"Mia"
"TE","Larry Donnell",2700,"NE@NYG 04:25PM ET",7.913,"NYG"
"DST","Texans ",2600,"Hou@Cin 08:30PM ET",6.250,"Hou"
"DST","Chiefs ",2600,"KC@Den 04:25PM ET",7.250,"KC"
"DST","Jaguars ",2600,"Jax@Bal 01:00PM ET",5.375,"Jax"
"DST","Cowboys ",2500,"Dal@TB 01:00PM ET",4.500,"Dal"
"DST","Dolphins ",2500,"Mia@Phi 01:00PM ET",6.500,"Mia"
"DST","Buccaneers ",2500,"Dal@TB 01:00PM ET",7.125,"TB"
